Datetime,RSSI1,RSSI2,RSSI3,RSSI4,RSSI5,RSSI6,RSSI7,RSSI8,RSSI9,RSSI10
2025-05-15 09:27:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:27:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:27:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:27:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:28:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:28:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:28:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:28:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:28:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:28:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:29:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:29:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 09:29:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
