ID,State_t-5,State_t-4,State_t-3,State_t-2,State_t-1,State_t,State_predicted
546,outside,outside,outside,outside,outside,stay,outside
547,stay,stay,stay,stay,stay,outside,outside
548,stay,stay,stay,stay,outside,outside,outside
549,stay,stay,stay,outside,outside,outside,outside
550,stay,stay,outside,outside,outside,outside,outside
551,stay,outside,outside,outside,outside,outside,outside
552,outside,outside,outside,outside,outside,outside,outside
553,outside,outside,outside,outside,outside,outside,outside
554,outside,outside,outside,outside,outside,outside,outside
555,outside,outside,outside,outside,outside,outside,outside
556,outside,outside,outside,outside,outside,outside,outside
557,outside,outside,outside,outside,outside,outside,outside
558,outside,outside,outside,outside,outside,outside,outside
559,outside,outside,outside,outside,outside,outside,outside
560,outside,outside,outside,outside,outside,outside,outside
561,outside,outside,outside,outside,outside,outside,outside
562,outside,outside,outside,outside,outside,outside,outside
563,outside,outside,outside,outside,outside,outside,outside
564,outside,outside,outside,outside,outside,outside,outside
565,outside,outside,outside,outside,outside,outside,outside
566,outside,outside,outside,outside,outside,outside,outside
567,outside,outside,outside,outside,outside,outside,outside
568,outside,outside,outside,outside,outside,outside,outside
569,outside,outside,outside,outside,outside,outside,outside
570,outside,outside,outside,outside,outside,outside,outside
571,outside,outside,outside,outside,outside,outside,outside
572,outside,outside,outside,outside,outside,outside,outside
573,outside,outside,outside,outside,outside,outside,outside
574,outside,outside,outside,outside,outside,outside,outside
575,outside,outside,outside,outside,outside,outside,outside
576,outside,outside,outside,outside,outside,outside,outside
577,outside,outside,outside,outside,outside,outside,outside
578,outside,outside,outside,outside,outside,outside,outside
579,outside,outside,outside,outside,outside,outside,outside
580,outside,outside,outside,outside,outside,outside,outside
581,outside,outside,outside,outside,outside,outside,outside
582,outside,outside,outside,outside,outside,outside,outside
583,outside,outside,outside,outside,outside,outside,outside
584,outside,outside,outside,outside,outside,outside,outside
585,outside,outside,outside,outside,outside,outside,outside
586,outside,outside,outside,outside,outside,outside,outside
587,outside,outside,outside,outside,outside,outside,outside
588,outside,outside,outside,outside,outside,outside,outside
589,outside,outside,outside,outside,outside,outside,outside
590,outside,outside,outside,outside,outside,outside,outside
591,outside,outside,outside,outside,outside,outside,outside
592,outside,outside,outside,outside,outside,outside,outside
593,outside,outside,outside,outside,outside,outside,outside
594,outside,outside,outside,outside,outside,outside,outside
595,outside,outside,outside,outside,outside,outside,outside
596,outside,outside,outside,outside,outside,outside,outside
